"Category","ProductName","SubText","DiscountedPrice","OriginalPrice"
"Fruits","Narikel (Coconut)","each",NA,"৳ 159"
"Fruits","Shagor Kola (Banana Sagor)","4 pcs","৳55","৳ 60"
"Fruits","Banana Chompa (Ready To Eat)","4 pcs","৳29","৳ 40"
"Fruits","Guava Premium (± 50 gm)","1 kg",NA,"৳ 129"
"Fruits","Malta ± 50 gm","1 kg",NA,"৳ 389"
"Fruits","Lal Angur (Red Grapes) ± 12 gm","250 gm",NA,"৳ 129"
"Fruits","Bangla Kola","4 pcs","৳39","৳ 49"
"Fruits","Daab (Green Coconut)","each","৳139","৳ 150"
"Fruits","Paka Pape ± 50 gm","1 kg","৳169","৳ 189"
"Fruits","Sobuj Angur (Green Grapes) Imported ± 12 gm","250 gm","৳159","৳ 189"
"Fruits","Cherry Pineapple (Cherry Anaros)","each",NA,"৳ 39"
"Fruits","Dalim (Pomegranate)","2 pcs",NA,"৳ 299"
"Fruits","Komola (Orange) Imported ± 50 gm","1 kg",NA,"৳ 349"
"Fruits","Shada Nashpati ± 50 gm (Pear White)","2 pcs",NA,"৳ 189"
"Fruits","China Fuji Apple ± 50 gm","1 kg",NA,"৳ 389"
"Fruits","Dragon Fruit Local (± 50 gm)","1 kg",NA,"৳ 249"
"Fruits","Green Olives (Jolpai) ± 25 gm","500 gm","৳59","৳ 75"
"Fruits","Amloki (Amla) ± 12 gm","250 gm",NA,"৳ 75"
"Fruits","Anaros (Pineapple)","each","৳89","৳ 99"
"Fruits","Gala Apple ± 50 gm","1 kg",NA,"৳ 419"
"Fruits","Wood Apple (Kodbel)","each",NA,"৳ 79"
"Fruits","Chalta","each",NA,"৳ 35"
"Fruits","Water Chestnut","500 gm","৳45","৳ 50"
"Fruits","Sofeda (Sapodilla)","1 kg","৳159","৳ 189"
"Fruits","Pomegranate Peeled (± 50 gm)","300 gm",NA,"৳ 439"
"Fruits","Banana Sobri","4 pcs",NA,"৳ 49"
"Fruits","Jambura (Pomelo)","each","৳149","৳ 160"
"Fruits","Australian Apple (± 50 gm)","1 kg",NA,"৳ 349"
"Fruits","Sobuj Angur (Green Grapes) ± 12 gm","250 gm",NA,"৳ 129"
